Date,WinWL,WinWLLstm
2021/06/01 10:52:07,0,1
2021/06/01 10:54:08,0,1
2021/06/01 10:54:34,1,0
2021/06/01 10:54:41,0,1
2021/06/01 10:54:50,0,1
2021/06/01 10:55:17,1,0
2021/06/01 10:55:37,1,0
2021/06/01 10:56:16,1,0
2021/06/01 10:56:37,1,0
2021/06/01 10:56:57,0,1
2021/06/01 10:57:10,1,0
2021/06/01 10:57:27,1,0
2021/06/01 10:57:43,1,0
2021/06/01 10:57:48,0,1
2021/06/01 10:58:22,0,1
2021/06/01 10:58:29,0,1
2021/06/01 10:58:40,1,0
2021/06/01 10:59:09,0,1
2021/06/01 10:59:18,0,1
2021/06/01 11:02:51,1,0
2021/06/01 11:02:58,0,1
2021/06/01 11:03:30,1,0
2021/06/01 11:03:55,0,1
2021/06/01 11:04:37,1,0
2021/06/01 11:04:53,0,1
2021/06/01 11:04:54,1,0
2021/06/01 11:05:01,1,0
2021/06/01 11:05:42,0,1
2021/06/01 11:05:44,1,0
2021/06/01 11:06:11,0,1
2021/06/01 11:06:41,1,0
2021/06/01 11:06:59,0,1
2021/06/01 11:07:29,1,0
2021/06/01 11:07:37,0,1
2021/06/01 11:07:49,1,0
2021/06/01 11:08:39,0,1
2021/06/01 11:08:57,0,1
2021/06/01 11:09:09,1,0
2021/06/01 11:09:27,0,1
2021/06/01 11:11:32,1,0
2021/06/01 11:11:44,1,0
2021/06/01 11:12:18,0,1
2021/06/01 11:12:28,0,1
2021/06/01 11:12:43,0,1
2021/06/01 11:14:38,1,0
2021/06/01 11:14:54,1,0
2021/06/01 11:15:13,1,0
2021/06/01 11:17:13,1,0
2021/06/01 11:17:20,0,1
2021/06/01 11:17:26,0,1
2021/06/01 11:17:43,1,0
2021/06/01 11:19:42,0,1
2021/06/01 11:19:56,1,0
2021/06/01 11:21:43,0,1
2021/06/01 11:21:52,0,1
2021/06/01 11:22:09,0,1
2021/06/01 11:22:20,0,1
2021/06/01 11:23:53,0,1
2021/06/01 11:24:04,0,1
2021/06/01 11:24:16,0,1
2021/06/01 11:24:25,1,0
2021/06/01 11:24:40,1,0
2021/06/01 11:24:47,1,0
2021/06/01 11:25:00,1,0
2021/06/01 11:25:12,0,1
2021/06/01 11:25:41,0,1
2021/06/01 11:27:15,1,0
2021/06/01 11:27:27,1,0
2021/06/01 11:27:42,0,1
2021/06/01 11:28:26,1,0
2021/06/01 11:28:46,1,0
2021/06/01 11:28:58,0,1
2021/06/01 11:29:57,1,0
2021/06/01 11:30:12,0,1
2021/06/01 11:30:39,0,1
2021/06/01 11:31:06,0,1
2021/06/01 11:31:07,1,0
2021/06/01 11:31:35,0,1
2021/06/01 11:31:47,1,0
2021/06/01 11:32:17,1,0
2021/06/01 11:34:26,0,1
2021/06/01 11:34:53,1,0
2021/06/01 11:36:45,1,0
2021/06/01 11:37:55,0,1
2021/06/01 11:38:21,0,1
2021/06/01 11:38:41,0,1
2021/06/01 11:38:58,1,0
2021/06/01 11:39:06,0,1
2021/06/01 11:39:22,0,1
2021/06/01 11:39:44,1,0
2021/06/01 11:41:39,0,1
2021/06/01 11:45:17,1,0
2021/06/01 11:45:30,0,1
2021/06/01 11:45:39,1,0
2021/06/01 11:46:16,1,0
2021/06/01 11:46:32,1,0
2021/06/01 11:47:09,1,0
2021/06/01 11:50:40,1,0
2021/06/01 11:50:53,1,0
2021/06/01 11:51:01,0,1
2021/06/01 11:51:18,1,0
2021/06/01 11:53:11,1,0
2021/06/01 11:53:29,0,1
2021/06/01 11:53:59,0,1
2021/06/01 11:54:28,0,1
2021/06/01 11:54:41,0,1
2021/06/01 11:55:13,1,0
2021/06/01 11:55:23,0,1
2021/06/01 11:59:06,1,0
2021/06/01 11:59:21,1,0
2021/06/01 11:59:38,1,0
2021/06/02 12:01:23,0,1
2021/06/02 12:03:09,1,0
2021/06/02 12:03:25,1,0
2021/06/02 12:03:32,1,0
2021/06/02 12:04:02,0,1
2021/06/02 12:07:29,0,1
2021/06/02 12:07:46,0,1
2021/06/02 12:08:03,1,0
2021/06/02 12:08:09,0,1
2021/06/02 12:08:31,1,0
2021/06/02 12:08:43,0,1
2021/06/02 12:08:56,1,0
2021/06/02 12:09:23,1,0
2021/06/02 12:09:50,1,0
2021/06/02 12:10:31,1,0
2021/06/02 12:13:01,0,1
2021/06/02 12:13:14,0,1
2021/06/02 12:13:24,0,1
2021/06/02 12:15:21,1,0
2021/06/02 12:15:40,0,1
2021/06/02 12:17:31,0,1
2021/06/02 12:18:08,1,0
2021/06/02 12:18:20,1,0
2021/06/02 12:20:08,1,0
2021/06/02 12:20:18,0,1
2021/06/02 12:20:29,0,1
2021/06/02 12:20:34,0,1
2021/06/02 12:21:26,0,1
2021/06/02 12:21:26,1,0
2021/06/02 12:21:51,1,0
2021/06/02 12:21:57,1,0
2021/06/02 12:22:25,1,0
2021/06/02 12:23:01,0,1
2021/06/02 12:23:11,0,1
2021/06/02 12:23:31,0,1
2021/06/02 12:23:40,1,0
2021/06/02 12:23:45,0,1
2021/06/02 12:29:03,1,0
2021/06/02 12:29:28,0,1
2021/06/02 12:29:36,0,1
2021/06/02 12:29:43,0,1
2021/06/02 12:31:44,0,1
2021/06/02 12:32:10,1,0
2021/06/02 12:34:09,1,0
2021/06/02 12:34:19,1,0
2021/06/02 12:34:45,0,1
2021/06/02 12:34:54,0,1
2021/06/02 12:35:07,0,1
2021/06/02 12:35:18,0,1
2021/06/02 12:35:22,0,1
2021/06/02 12:35:37,1,0
2021/06/02 12:35:45,1,0
2021/06/02 12:35:52,1,0
2021/06/02 12:39:24,1,0
2021/06/02 12:40:46,1,0
2021/06/02 12:41:04,1,0
2021/06/02 12:41:18,0,1
2021/06/02 12:41:35,1,0
2021/06/02 12:42:14,1,0
2021/06/02 12:45:49,1,0
2021/06/02 12:47:43,0,1
2021/06/02 12:47:52,1,0
2021/06/02 12:48:06,1,0
2021/06/02 12:48:28,0,1
2021/06/02 12:49:13,1,0
2021/06/02 12:49:45,0,1
2021/06/02 12:49:54,0,1
2021/06/02 12:51:05,0,1
2021/06/02 12:51:13,1,0
2021/06/02 12:51:31,1,0
2021/06/02 12:51:46,1,0
2021/06/02 12:52:10,1,0
2021/06/02 12:52:35,0,1
2021/06/02 12:52:40,0,1
2021/06/02 12:53:00,1,0
2021/06/02 12:54:54,1,0
2021/06/02 12:55:37,0,1
2021/06/02 12:56:09,1,0
2021/06/02 12:56:18,0,1
2021/06/02 12:56:31,1,0
2021/06/02 01:00:00,0,1
2021/06/02 01:00:58,0,1
2021/06/02 01:02:24,1,0
2021/06/02 01:04:20,0,1
2021/06/02 01:05:03,1,0
2021/06/02 01:05:14,1,0
2021/06/02 01:05:26,0,1
2021/06/02 01:05:36,0,1
2021/06/02 01:05:45,1,0
2021/06/02 01:06:08,0,1
2021/06/02 01:06:28,0,1
2021/06/02 01:06:58,1,0
2021/06/02 01:07:12,1,0
2021/06/02 01:07:17,0,1
2021/06/02 01:07:23,1,0
2021/06/02 01:07:33,1,0
2021/06/02 01:07:47,1,0
2021/06/02 01:08:06,1,0
2021/06/02 01:08:13,0,1
2021/06/02 01:08:47,1,0
2021/06/02 01:08:51,0,1
2021/06/02 01:10:41,0,1
2021/06/02 01:10:59,1,0
2021/06/02 01:11:13,1,0
2021/06/02 01:13:20,1,0
2021/06/02 01:13:44,0,1
2021/06/02 01:14:13,1,0
2021/06/02 01:16:02,0,1
2021/06/02 01:16:18,0,1
2021/06/02 01:16:36,1,0
2021/06/02 01:16:51,0,1
2021/06/02 01:17:06,1,0
2021/06/02 01:17:40,0,1
2021/06/02 01:17:48,0,1
2021/06/02 01:18:01,0,1
2021/06/02 01:18:16,0,1
2021/06/02 01:18:44,0,1
2021/06/02 01:18:59,1,0
2021/06/02 01:19:06,0,1
2021/06/02 01:19:25,0,1
2021/06/02 01:19:37,1,0
2021/06/02 01:21:25,0,1
2021/06/02 01:21:43,0,1
