Date,WinRobotSumoWL80SD12FOV,WinRobotSumoWL200SD30FOV
2021/06/13 09:00:16,1,0
2021/06/13 09:00:17,1,0
2021/06/13 09:00:20,1,0
2021/06/13 09:00:21,1,0
2021/06/13 09:00:22,0,1
2021/06/13 09:00:22,1,0
2021/06/13 09:00:22,0,1
2021/06/13 09:00:23,0,1
2021/06/13 09:00:27,1,0
2021/06/13 09:00:29,0,1
2021/06/13 09:00:32,1,0
2021/06/13 09:00:34,0,1
2021/06/13 09:00:35,1,0
2021/06/13 09:00:35,0,1
2021/06/13 09:00:36,0,1
2021/06/13 09:00:37,1,0
2021/06/13 09:00:37,0,1
2021/06/13 09:00:41,0,1
2021/06/13 09:00:44,0,1
2021/06/13 09:00:45,0,1
2021/06/13 09:00:47,1,0
2021/06/13 09:00:50,0,1
2021/06/13 09:00:50,1,0
2021/06/13 09:00:52,1,0
2021/06/13 09:00:52,0,1
2021/06/13 09:00:53,1,0
2021/06/13 09:00:53,1,0
2021/06/13 09:00:54,1,0
2021/06/13 09:00:54,1,0
2021/06/13 09:00:56,0,1
2021/06/13 09:01:02,0,1
2021/06/13 09:01:03,1,0
2021/06/13 09:01:08,0,1
2021/06/13 09:01:08,1,0
2021/06/13 09:01:09,1,0
2021/06/13 09:01:09,0,1
2021/06/13 09:01:10,1,0
2021/06/13 09:01:11,0,1
2021/06/13 09:01:12,1,0
2021/06/13 09:01:14,1,0
2021/06/13 09:01:14,1,0
2021/06/13 09:01:14,1,0
2021/06/13 09:01:15,1,0
2021/06/13 09:01:16,1,0
2021/06/13 09:01:16,1,0
2021/06/13 09:01:18,1,0
2021/06/13 09:01:19,0,1
2021/06/13 09:01:20,0,1
2021/06/13 09:01:21,1,0
2021/06/13 09:01:21,0,1
2021/06/13 09:01:22,1,0
2021/06/13 09:01:31,1,0
2021/06/13 09:01:32,1,0
2021/06/13 09:01:37,0,1
2021/06/13 09:01:38,1,0
2021/06/13 09:01:40,1,0
2021/06/13 09:01:49,1,0
2021/06/13 09:01:53,0,1
2021/06/13 09:01:57,1,0
2021/06/13 09:01:57,0,1
2021/06/13 09:01:58,0,1
2021/06/13 09:02:00,1,0
2021/06/13 09:02:02,0,1
2021/06/13 09:02:04,1,0
2021/06/13 09:02:05,0,1
2021/06/13 09:02:05,0,1
2021/06/13 09:02:06,1,0
2021/06/13 09:02:07,1,0
2021/06/13 09:02:08,0,1
2021/06/13 09:02:08,1,0
2021/06/13 09:02:11,1,0
2021/06/13 09:02:13,0,1
2021/06/13 09:02:14,1,0
2021/06/13 09:02:15,0,1
2021/06/13 09:02:16,1,0
2021/06/13 09:02:18,1,0
2021/06/13 09:02:18,0,1
2021/06/13 09:02:19,0,1
2021/06/13 09:02:20,1,0
2021/06/13 09:02:21,1,0
2021/06/13 09:02:22,1,0
2021/06/13 09:02:24,0,1
2021/06/13 09:02:26,1,0
2021/06/13 09:02:29,0,1
2021/06/13 09:02:31,0,1
2021/06/13 09:02:31,1,0
2021/06/13 09:02:32,0,1
