Date,WinWL_80SD_12FOV,WinWL_40SD_6FOV
2021/06/09 08:30:49,1,0
2021/06/09 08:30:49,1,0
2021/06/09 08:30:49,0,1
2021/06/09 08:30:50,0,1
2021/06/09 08:30:53,1,0
2021/06/09 08:30:53,1,0
2021/06/09 08:30:53,1,0
2021/06/09 08:30:54,1,0
2021/06/09 08:30:56,1,0
2021/06/09 08:30:59,1,0
2021/06/09 08:30:59,1,0
2021/06/09 08:31:00,1,0
2021/06/09 08:31:00,1,0
2021/06/09 08:31:03,0,1
2021/06/09 08:31:04,1,0
2021/06/09 08:31:05,1,0
2021/06/09 08:31:05,0,1
2021/06/09 08:31:07,1,0
2021/06/09 08:31:07,1,0
2021/06/09 08:31:08,0,1
2021/06/09 08:31:09,0,1
2021/06/09 08:31:10,0,1
2021/06/09 08:31:10,1,0
2021/06/09 08:31:17,0,1
2021/06/09 08:31:17,1,0
2021/06/09 08:31:18,1,0
2021/06/09 08:31:19,1,0
2021/06/09 08:31:21,0,1
2021/06/09 08:31:22,0,1
2021/06/09 08:31:24,0,1
2021/06/09 08:31:25,1,0
2021/06/09 08:31:26,0,1
2021/06/09 08:31:27,1,0
2021/06/09 08:31:28,0,1
2021/06/09 08:31:29,0,1
2021/06/09 08:31:29,1,0
2021/06/09 08:31:29,1,0
2021/06/09 08:31:30,1,0
2021/06/09 08:31:32,0,1
2021/06/09 08:31:32,1,0
2021/06/09 08:31:33,0,1
2021/06/09 08:31:33,0,1
2021/06/09 08:31:34,0,1
2021/06/09 08:31:34,1,0
2021/06/09 08:31:35,0,1
2021/06/09 08:31:36,1,0
2021/06/09 08:31:36,1,0
2021/06/09 08:31:38,0,1
2021/06/09 08:31:38,0,1
2021/06/09 08:31:39,1,0
2021/06/09 08:31:39,0,1
2021/06/09 08:31:39,1,0
2021/06/09 08:31:40,1,0
2021/06/09 08:31:41,1,0
2021/06/09 08:31:41,1,0
2021/06/09 08:31:42,0,1
2021/06/09 08:31:44,1,0
2021/06/09 08:31:45,0,1
2021/06/09 08:31:48,1,0
2021/06/09 08:31:48,1,0
2021/06/09 08:31:49,1,0
2021/06/09 08:31:50,1,0
2021/06/09 08:31:52,1,0
2021/06/09 08:31:53,1,0
2021/06/09 08:31:54,1,0
2021/06/09 08:31:54,1,0
2021/06/09 08:31:55,1,0
2021/06/09 08:31:56,0,1
2021/06/09 08:31:57,1,0
2021/06/09 08:31:58,0,1
2021/06/09 08:31:58,1,0
2021/06/09 08:31:59,1,0
2021/06/09 08:31:59,0,1
2021/06/09 08:32:02,1,0
2021/06/09 08:32:04,0,1
2021/06/09 08:32:04,1,0
2021/06/09 08:32:05,1,0
2021/06/09 08:32:07,1,0
2021/06/09 08:32:08,0,1
2021/06/09 08:32:12,1,0
2021/06/09 08:32:12,1,0
2021/06/09 08:32:13,1,0
2021/06/09 08:32:14,1,0
2021/06/09 08:32:16,1,0
2021/06/09 08:32:17,0,1
2021/06/09 08:32:19,0,1
2021/06/09 08:32:19,1,0
2021/06/09 08:32:20,1,0
2021/06/09 08:32:20,0,1
2021/06/09 08:32:21,1,0
2021/06/09 08:32:21,1,0
2021/06/09 08:32:22,0,1
2021/06/09 08:32:23,1,0
2021/06/09 08:32:23,0,1
2021/06/09 08:32:24,1,0
2021/06/09 08:32:26,1,0
2021/06/09 08:32:27,1,0
2021/06/09 08:32:31,0,1
2021/06/09 08:32:32,1,0
2021/06/09 08:32:33,1,0
2021/06/09 08:32:34,0,1
2021/06/09 08:32:35,0,1
2021/06/09 08:32:35,0,1
2021/06/09 08:32:37,1,0
2021/06/09 08:32:39,1,0
2021/06/09 08:32:41,0,1
2021/06/09 08:32:41,0,1
2021/06/09 08:32:43,0,1
2021/06/09 08:32:45,1,0
2021/06/09 08:32:45,0,1
2021/06/09 08:32:45,1,0
2021/06/09 08:32:46,1,0
